Whistling Sound,Usage Duration,Tube Clog Status,Repair Status,Cleaning Status,Suction Efficiency,Hose Repair Status,Motor Condition,Noise Intensity,Fault
yes,2,not clogged,needs repair,cleaned,high,no,good,high,sensor control red
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
yes,0,not clogged,needs repair,needs deep cleaning,low,yes,good,high,stops every 2 minutes
no,1,not clogged,fixed battery wire,need regular cleaning,high,no,good,normal,unexpected shutdown
no,2,not clogged,needs repair,need regular cleaning,low,no,good,medium,battery not charging
no,1,not clogged,needs repair,cleaned,low,yes,good,medium,"battery issue, cuts out in speeds 2 and 3"
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,motor overheating
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,0,not clogged,needs repair,cleaned,low,no,good,high,"seeking durable vacuum for hardwood, medium-sized dog, and long hair"
no,2,not clogged,needs repair,cleaned,high,no,good,high,continuous loud noise
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
no,0,clogged,checked unclogged elbows,need regular cleaning,low,no,good,normal,unexpected shutdown
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
no,1,not clogged,fixed battery wire,need regular cleaning,high,no,good,normal,continuous loud noise
no,1,not clogged,needs repair,cleaned,high,no,good,medium,"broken vacuum cleaner belt, needs replacement"
no,1,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
yes,0,not clogged,needs repair,cleaned,low,no,good,high,"seeking durable vacuum for hardwood, medium-sized dog, and long hair"
no,1,clogged,check nozzle and clean tank/filter,need regular cleaning,low,no,good,normal,clogged nozzle
yes,2,not clogged,needs repair,cleaned,low,no,needs attention,high,makes terrible noise after cleaning filters
yes,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"stops working, on/off button suspected"
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,low suction efficiency
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,1,not clogged,fixed battery wire,need regular cleaning,high,no,good,normal,"battery pack not charging, possible wire issue"
no,2,not clogged,needs repair,cleaned,high,no,good,high,low suction efficiency
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,motor overheating
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,1,clogged,check nozzle and clean tank/filter,need regular cleaning,low,no,good,normal,clogged nozzle
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
no,2,not clogged,needs repair,cleaned,medium,no,good,medium,"intermittent power failure, loose wiring suspected"
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"no longer sucks, drying hepa filter"
yes,1,not clogged,needs repair,cleaned,low,no,needs attention,high,battery not charging
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,0,not clogged,needs repair,needs deep cleaning,low,yes,good,high,low suction efficiency
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,motor overheating
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,2,not clogged,needs repair,cleaned,high,no,good,high,continuous loud noise
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,battery not charging
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,low suction efficiency
yes,2,not clogged,needs repair,cleaned,high,no,good,high,sensor control red
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
no,2,not clogged,needs repair,cleaned,medium,no,good,medium,motor overheating
no,2,not clogged,needs repair,need regular cleaning,low,no,good,medium,no suction
no,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,motor overheating
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,1,not clogged,needs repair,need regular cleaning,low,yes,overheating,very high,multiple clogs and overheating
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
yes,0,not clogged,needs repair,needs deep cleaning,low,yes,good,high,stops every 2 minutes
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,low suction efficiency
no,1,not clogged,needs repair,cleaned,low,yes,good,medium,motor overheating
no,1,not clogged,fixed battery wire,need regular cleaning,high,no,good,normal,motor overheating
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,motor overheating
no,2,not clogged,needs repair,cleaned,medium,no,good,medium,"intermittent power failure, loose wiring suspected"
no,1,clogged,check nozzle and clean tank/filter,need regular cleaning,low,no,good,normal,clogged nozzle
yes,2,not clogged,needs repair,cleaned,high,no,good,high,motor overheating
no,2,not clogged,needs repair,cleaned,high,no,good,high,motor overheating
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,1,clogged,check nozzle and clean tank/filter,need regular cleaning,low,no,good,normal,unexpected shutdown
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
no,2,not clogged,needs repair,cleaned,high,no,good,high,stops every 2 minutes
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
yes,2,not clogged,needs repair,need regular cleaning,low,yes,good,high,continuous loud noise
yes,0,not clogged,needs repair,needs deep cleaning,low,yes,good,high,continuous loud noise
no,1,not clogged,needs repair,cleaned,low,no,needs attention,high,"does not start, checking on/off button"
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,stops every 2 minutes
yes,1,not clogged,needs repair,need regular cleaning,low,yes,good,high,unexpected shutdown
yes,0,not clogged,needs repair,needs deep cleaning,low,yes,good,high,stops every 2 minutes
no,1,not clogged,needs repair,cleaned,high,no,good,medium,"broken vacuum cleaner belt, needs replacement"
